id,name,rank,latitude,longitude,status
1,Officer_1,Inspector,12.974435092459746,77.7313690459613,Available
2,Officer_2,Inspector,12.966959918576372,77.52607195985306,Available
3,Officer_3,ASI,13.165742406717026,77.46278530933604,Busy
4,Officer_4,Constable,13.094262498814311,77.47714971577079,Busy
5,Officer_5,Constable,13.19504231433815,77.52281155233229,Busy
6,Officer_6,Inspector,12.923948595848683,77.67606073279244,Busy
7,Officer_7,Constable,13.15435477845125,77.70743755720028,Available
8,Officer_8,ASI,12.942375931642822,77.72773836467626,Available
9,Officer_9,Inspector,13.158997087128911,77.4590013887229,Available
10,Officer_10,ASI,13.088920268428762,77.50347258409573,Available
11,Officer_11,Constable,12.95235625110513,77.74217483041006,Busy
12,Officer_12,ASI,13.133851298564595,77.55026829065422,Busy
13,Officer_13,Inspector,13.138144294111694,77.60967705725943,Available
14,Officer_14,ASI,12.930563744566449,77.64668347726739,Available
15,Officer_15,Constable,12.905611444374605,77.52253442461982,Available
16,Officer_16,Constable,13.00844459261593,77.71843488436922,Available
17,Officer_17,ASI,13.091870192487114,77.60053076320384,Available
18,Officer_18,Inspector,13.047113055007692,77.62500704957084,Busy
19,Officer_19,Inspector,13.093027159318417,77.473282472865,Available
20,Officer_20,ASI,13.00985140945913,77.50625606931072,Available
21,Officer_21,ASI,13.11692497411677,77.45728656966801,Busy
22,Officer_22,Constable,12.977975035601808,77.67663508402806,Available
23,Officer_23,Inspector,12.945952161355638,77.48657713047284,Available
24,Officer_24,Inspector,12.909643462090846,77.50328396305149,Available
25,Officer_25,ASI,13.091098497484655,77.60749908142978,Busy
26,Officer_26,Constable,12.934836954582837,77.56714860748444,Available
27,Officer_27,Constable,13.131935425361709,77.70274417538876,Busy
28,Officer_28,Constable,13.164376705049543,77.5147429261029,Busy
29,Officer_29,Constable,13.109703047224919,77.46228517845077,Busy
30,Officer_30,Constable,12.993265604923323,77.70416205512423,Busy
31,Officer_31,Constable,12.908537591667706,77.51409300468922,Busy
32,Officer_32,ASI,13.085503747859068,77.64006038851018,Available
33,Officer_33,Inspector,13.140167340547112,77.59286485154192,Busy
34,Officer_34,Inspector,13.091089497572895,77.4573810822079,Available
35,Officer_35,Inspector,13.177916854674766,77.7255153080732,Available
36,Officer_36,Constable,12.989222629197211,77.57326771874689,Available
37,Officer_37,ASI,12.941944185834322,77.6868991321247,Available
38,Officer_38,Inspector,12.97511826613766,77.5718404360966,Busy
39,Officer_39,Inspector,13.035951750361546,77.68356080460916,Busy
40,Officer_40,Inspector,13.157906094752697,77.69687544380179,Available
41,Officer_41,Inspector,13.064157368121338,77.69595758002566,Available
42,Officer_42,Inspector,12.903961840463884,77.73923452801701,Available
43,Officer_43,ASI,13.181378230070008,77.4501885122067,Available
44,Officer_44,Inspector,12.927864024846786,77.45860508114126,Busy
45,Officer_45,Constable,12.990317771715715,77.57917930363416,Busy
46,Officer_46,ASI,13.081928518103723,77.56798278969909,Busy
47,Officer_47,Constable,12.902974082011019,77.52659139699746,Busy
48,Officer_48,ASI,12.916560329730213,77.71679387041678,Busy
49,Officer_49,Inspector,12.918811636037235,77.62444859930585,Available
50,Officer_50,Constable,12.985359273908907,77.70649563809272,Busy
51,Officer_51,ASI,13.19923752101298,77.62263803527556,Busy
52,Officer_52,Inspector,12.9404079363184,77.50120864239004,Available
53,Officer_53,Constable,13.167033966920844,77.5475475053607,Available
54,Officer_54,Constable,12.917529038319215,77.51360251041864,Busy
55,Officer_55,ASI,13.062786033439531,77.70532156610841,Available
56,Officer_56,ASI,13.030100084636015,77.628638128532,Busy
57,Officer_57,ASI,13.16789164581618,77.51686133062812,Busy
58,Officer_58,ASI,13.138808162161759,77.55872254085249,Busy
59,Officer_59,ASI,13.178680626473389,77.62445798937691,Available
60,Officer_60,Constable,13.06456866037725,77.58984140817533,Busy
61,Officer_61,Constable,13.167472891790103,77.52114614764729,Busy
62,Officer_62,Constable,12.955093281560696,77.50104762850825,Busy
63,Officer_63,ASI,12.91369568246379,77.67467888610746,Available
64,Officer_64,ASI,12.942245518164341,77.54976719384295,Busy
65,Officer_65,Constable,13.131847873697948,77.52066679688275,Busy
66,Officer_66,ASI,13.144420835872106,77.6737104406932,Available
67,Officer_67,ASI,13.027953812228821,77.73911874685544,Busy
68,Officer_68,Constable,12.973974504759086,77.52614786611814,Busy
69,Officer_69,Inspector,13.12591174354078,77.45177607782476,Busy
70,Officer_70,Constable,12.979621825144584,77.62132390144414,Available
71,Officer_71,ASI,12.98274920250214,77.66923143295048,Available
72,Officer_72,ASI,13.144317723419851,77.63379541644164,Busy
73,Officer_73,Constable,13.006149837138272,77.68463125514236,Busy
74,Officer_74,Inspector,13.026191862071443,77.64457367854854,Busy
75,Officer_75,Inspector,13.048098052533163,77.619915186842,Available
76,Officer_76,Inspector,12.929920096585631,77.73818709795106,Available
77,Officer_77,ASI,13.054136323162327,77.46160662281942,Available
78,Officer_78,Constable,12.988812077300318,77.73787668496847,Busy
79,Officer_79,Constable,12.950806961497008,77.7463567607594,Available
80,Officer_80,Inspector,13.031911197137912,77.56247394699652,Available
81,Officer_81,Inspector,13.107053622339027,77.60411588707596,Available
82,Officer_82,Inspector,12.949245080314034,77.69047241582497,Busy
83,Officer_83,Inspector,13.165216381902688,77.54425324200055,Busy
84,Officer_84,Constable,12.93665768564832,77.57480330735488,Available
85,Officer_85,Constable,13.166256005343685,77.47749213132052,Busy
86,Officer_86,Inspector,12.992477618826664,77.59182688112712,Busy
87,Officer_87,ASI,12.93147843189078,77.58659238261605,Available
88,Officer_88,Constable,13.062863881260293,77.49841236864596,Available
89,Officer_89,Inspector,12.976757688605844,77.6163867937429,Busy
90,Officer_90,Constable,13.018450263639595,77.59483480074493,Available
91,Officer_91,Inspector,13.187912393485247,77.66807065422572,Available
92,Officer_92,Constable,12.992995603908591,77.71419369246082,Available
93,Officer_93,ASI,13.019748683992086,77.70986196630913,Busy
94,Officer_94,Inspector,12.935498637592895,77.51177127260974,Busy
95,Officer_95,ASI,13.01576939021254,77.56696301799374,Busy
96,Officer_96,Constable,13.028032508457379,77.5817857169384,Busy
